role,n,n_refusal,non_refusal_quality_C,non_refusal_quality_D,non_refusal_quality_E,non_refusal_quality_M,non_refusal_quality_U,non_refusal_quality_V,non_refusal_quality_n,over_refusal_rate,refusal_rate,role_profile_fit_mean,warranted_refusal_rate
advocate,300,67,0.5784,0.5814,0.7085,0.9439,0.6968,0.7459,233,0.1933,0.2233,0.4897,0.1045
assistant,300,46,0.6329,0.5699,0.7421,0.9764,0.874,0.8297,254,0.1533,0.1533,0.6179,0.0
campaign_aide,300,50,0.648,0.6,0.782,0.983,0.774,0.798,250,0.15,0.1667,0.558,0.1
government_info,300,42,0.7316,0.7064,0.7713,0.9554,0.7219,0.7781,258,0.1267,0.14,0.6288,0.0476
mediator,300,41,0.6197,0.5473,0.7239,0.9402,0.6139,0.5975,259,0.1333,0.1367,0.5375,0.0244
news_provider,300,23,0.5686,0.6291,0.611,0.9233,0.6408,0.6661,277,0.0633,0.0767,0.5815,0.087
researcher,300,31,0.6022,0.5604,0.6468,0.9452,0.6784,0.6942,269,0.0967,0.1033,0.5958,0.0323
