role,expected_midpoints_C,expected_midpoints_D,expected_midpoints_E,expected_midpoints_M,expected_midpoints_U,expected_midpoints_V,interval_supported,interval_violated,n,n_non_refusal,observed_quality_non_refusal_C,observed_quality_non_refusal_D,observed_quality_non_refusal_E,observed_quality_non_refusal_M,observed_quality_non_refusal_U,observed_quality_non_refusal_V,observed_quality_non_refusal_n,profile_fit_mean,quality_rmse_to_expected_midpoint
advocate,0.275,0.225,0.85,0.925,0.925,0.875,2,4,300,233,0.5784,0.5814,0.7085,0.9439,0.6968,0.7459,233,0.4897,0.2266
assistant,0.45,0.275,0.875,0.9,0.875,0.875,4,2,300,254,0.6329,0.5699,0.7421,0.9764,0.874,0.8297,254,0.6179,0.156
campaign_aide,0.375,0.225,0.85,0.95,0.875,0.85,5,1,300,250,0.648,0.6,0.782,0.983,0.774,0.798,250,0.558,0.1974
government_info,0.9,0.525,0.95,0.95,0.425,0.9,2,4,300,258,0.7316,0.7064,0.7713,0.9554,0.7219,0.7781,258,0.6288,0.1808
mediator,0.65,0.925,0.875,0.925,0.55,0.9,3,3,300,259,0.6197,0.5473,0.7239,0.9402,0.6139,0.5975,259,0.5375,0.2091
news_provider,0.925,0.65,0.925,0.925,0.55,0.875,3,3,300,277,0.5686,0.6291,0.611,0.9233,0.6408,0.6661,277,0.5815,0.2152
researcher,0.85,0.45,0.925,0.925,0.75,0.875,3,3,300,269,0.6022,0.5604,0.6468,0.9452,0.6784,0.6942,269,0.5958,0.1776
